_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65dece),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.6666666666666666,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2400,"[""cauliflower"",""olive oil"",""sea salt""]",Elana's Pantry,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-1430737
ObjectId(58e5ee19a4e2980ece65df44),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.6666666666666666,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2400,"[""cauliflower"",""olive oil"",""sea salt""]",Elana's Pantry,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-1430737
ObjectId(58e5ee19a4e2980ece65e27e),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""potatoes"",""milk"",""butter"",""garlic"",""parsley"",""salt"",""pepper""]",Lisa Eats,Mashed Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-1564293
ObjectId(58e5ee1aa4e2980ece65ebb9),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",5,1500,"[""mashed potatoes"",""flour"",""bacon grease""]",How Sweet It Is,Mashed Potato Pancakes,"{""course"":[""Breakfast and Brunch""]}",Mashed-potato-pancakes-333910
ObjectId(58e5ee1aa4e2980ece65f349),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.6666666666666666,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.3333333333333333}",3,2100,"[""cauliflower"",""olive oil"",""garlic powder"",""dried chives"",""parmesan cheese""]",BigOven,Mashed Parmesan Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Parmesan-Cauliflower-895253
ObjectId(58e5ee1aa4e2980ece65f587),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.5}",3,2700,"[""large egg yolks"",""mashed potatoes"",""grated parmesan cheese"",""fresh chives"",""all-purpose flour"",""large eggs"",""bread crumbs"",""vegetable oil""]",Bon Appétit,Mashed Potato Croquettes,"{""course"":[""Side Dishes""]}",Mashed-Potato-Croquettes-780408
ObjectId(58e5ee1aa4e2980ece65f806),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1500,"[""cauliflower florets"",""garlic"",""fat-free buttermilk"",""olive oil"",""butter"",""salt"",""pepper"",""chives""]",LaaLoosh,Mashed Cauliflower “Potatoes”,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-Potatoes-1390688
ObjectId(58e5ee1aa4e2980ece65faf8),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.3333333333333333,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,660,"[""bananas"",""rolled oats"",""water"",""milk"",""cinnamon""]",Frugal Nutrition,Mashed Banana Oatmeal,"{""course"":[""Breakfast and Brunch""]}",Mashed-Banana-Oatmeal-1540688
ObjectId(58e5ee1aa4e2980ece65fb72),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",5,3300,"[""rutabaga"",""salt"",""black pepper"",""butter"",""full fat sour cream"",""fresh dill""]",Simply Recipes,Mashed Rutabaga with Sour Cream and Dill,"{""course"":[""Side Dishes""]}",Mashed-rutabaga-with-sour-cream-and-dill-305003
ObjectId(58e5ee1aa4e2980ece65fc4a),,4,1800,"[""sweet potatoes"",""1% low-fat milk"",""light butter"",""salt"",""ground cinnamon"",""ground nutmeg"",""light brown sugar""]",Skinnytaste,Mashed Sweet Potatoes Brulee,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-Brulee-1640029
ObjectId(58e5ee1aa4e2980ece660bb7),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,4500,"[""sweet potatoes"",""melted butter"",""maple syrup"",""flour"",""cinnamon"",""vanilla""]",Butter With A Side Of Bread,Mashed Sweet Potatoes with Cinnamon Maple Butter Sauce,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-with-Cinnamon-Maple-Butter-Sauce-1047633
ObjectId(58e5ee1aa4e2980ece660d93),"{""piquant"":0.3333333333333333,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",3,1500,"[""red potato"",""onions"",""half \u0026 half"",""unsalted butter"",""fresh chives"",""salt"",""white pepper""]",Cuisine At Home,Mashed Red Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Red-Potatoes-1395726
ObjectId(58e5ee1aa4e2980ece6612c8),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""sweet potatoes"",""brown sugar"",""cinnamon"",""unsalted butter""]",A Sweet Pea Chef,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1239604
ObjectId(58e5ee1aa4e2980ece661355),,4,2700,"[""sweet potatoes"",""raw sugar"",""butter"",""lemon juice"",""whipping cream"",""salt"",""pepper""]",Christine's Recipes,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-2048388
ObjectId(58e5ee1aa4e2980ece66278b),,4,1500,"[""potatoes"",""Country Crock® Spread"",""hellmann' or best food real mayonnais"",""2% reduced-fat milk"",""garlic salt""]",Unilever North America,Mashed Potatoes For Racecar Fans,"{""course"":[""Side Dishes""],""cuisine"":[""Kid-Friendly""]}",Mashed-potatoes-for-racecar-fans-299346
ObjectId(58e5ee1ba4e2980ece662ad3),,4,1500,"[""potatoes"",""Country Crock® Spread"",""hellmann' or best food real mayonnais"",""2% reduced-fat milk"",""garlic salt""]",Unilever North America,Mashed Potatoes For Racecar Fans,"{""course"":[""Side Dishes""],""cuisine"":[""Kid-Friendly""]}",Mashed-potatoes-for-racecar-fans-299346
ObjectId(58e5ee1ba4e2980ece662b83),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1800,"[""sweet potatoes"",""salted butter"",""salt"",""smoked bacon""]",Food Doodles,Mashed Sweet Potatoes with Bacon,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-with-Bacon-1353289
ObjectId(58e5ee1ba4e2980ece662d9d),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.16666666666666666}",5,1800,"[""potatoes"",""unsalted butter"",""garlic"",""kale"",""whole milk"",""goat cheese"",""salt""]",Food Republic,Mashed Potatoes with Goat Cheese & Kale,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Goat-Cheese-_-Kale-534032
ObjectId(58e5ee1ba4e2980ece6639da),"{""piquant"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""gold potatoes"",""butter"",""whole milk"",""thyme sprigs""]",Wonky Wonderful,Mashed Potatoes with Thyme Infused Brown Butter,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Thyme-Infused-Brown-Butter-1057420
ObjectId(58e5ee1ba4e2980ece663abd),"{""piquant"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""gold potatoes"",""butter"",""whole milk"",""thyme sprigs""]",Wonky Wonderful,Mashed Potatoes with Thyme Infused Brown Butter,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Thyme-Infused-Brown-Butter-1057420
ObjectId(58e5ee1ba4e2980ece663d24),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""mashed potatoes"",""shredded cheese"",""onions"",""carrots"",""eggs"",""all-purpose flour"",""bread crumbs"",""vegetable oil"",""sour cream"",""salt""]",The Seaman Mom,Mashed Potato Pancakes,"{""course"":[""Side Dishes""]}",Mashed-Potato-Pancakes-1368873
ObjectId(58e5ee1ba4e2980ece6650e0),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""sweet potatoes"",""plain greek yogurt"",""pure maple syrup"",""cinnamon""]",My Purple Spoon,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-793215
ObjectId(58e5ee1ba4e2980ece665415),"{""sweet"":0.6666666666666666,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""strawberry frozen yogurt"",""apple juice"",""strawberries"",""bananas""]",Hamilton Beach,Mash One in the Hay Milkshake,"{""course"":[""Beverages""]}",Mash-One-in-the-Hay-Milkshake-1696433
ObjectId(58e5ee1ba4e2980ece6658e1),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",3,2100,"[""mashed potatoes"",""grated parmesan cheese"",""scallions"",""large eggs"",""butter"",""kosher salt""]",Food52,Mashed Potato Cakes,"{""course"":[""Side Dishes""]}",Mashed-potato-cakes-327375
ObjectId(58e5ee1ba4e2980ece665af8),,4,2700,"[""sweet potatoes"",""raw sugar"",""butter"",""lemon juice"",""whipping cream"",""salt"",""pepper""]",Christine's Recipes,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-2048388
ObjectId(58e5ee1ba4e2980ece665b61),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",3,3000,"[""sweet potatoes"",""unsalted butter"",""cream"",""sugar"",""ground cinnamon"",""sea salt"",""orange""]",Cooking Channel,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1325807
